nome,lista,link
ADI 5087,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=67142&amp;data=11/04/2019&amp;ministro=MIN.ALEXANDREDEMORAES&amp;colegiado=TP&amp;sessao=E&amp;lista=LISTA2
ADI 5243,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=68233&amp;data=11/04/2019&amp;ministro=MIN.EDSONFACHIN&amp;colegiado=TP&amp;sessao=E&amp;lista=LISTA5
ADI 4606,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=67982&amp;data=28/02/2019&amp;ministro=MIN.ALEXANDREDEMORAES&amp;colegiado=TP&amp;sessao=E&amp;lista=LISTA8
ADI 5646,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=69182&amp;data=07/02/2019&amp;ministro=MIN.LUIZFUX&amp;colegiado=TP&amp;sessao=E&amp;lista=LISTA1
ADI 1934,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=69104&amp;data=07/02/2019&amp;ministro=MIN.ROBERTOBARROSO&amp;colegiado=TP&amp;sessao=E&amp;lista=LISTA10
ADI 5745,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=69160&amp;data=07/02/2019&amp;ministro=MIN.ALEXANDREDEMORAES&amp;colegiado=TP&amp;sessao=E&amp;lista=LISTA1
ADI 5473,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=69012&amp;data=19/12/2018&amp;ministro=MIN.MARCOAUR%C3%89LIO&amp;colegiado=TP&amp;sessao=E&amp;lista=LISTA1
ADI 1606,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=69081&amp;data=19/12/2018&amp;ministro=MIN.ROBERTOBARROSO&amp;colegiado=TP&amp;sessao=E&amp;lista=LISTA11
ADI 4243,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=69105&amp;data=19/12/2018&amp;ministro=MIN.ROBERTOBARROSO&amp;colegiado=TP&amp;sessao=E&amp;lista=LISTA12
ADI 1984,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=69106&amp;data=19/12/2018&amp;ministro=MIN.ROBERTOBARROSO&amp;colegiado=TP&amp;sessao=E&amp;lista=LISTA13
ADI 5535,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=69120&amp;data=19/12/2018&amp;ministro=MIN.ROBERTOBARROSO&amp;colegiado=TP&amp;sessao=E&amp;lista=LISTA18
ADI 5723,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=69121&amp;data=19/12/2018&amp;ministro=MIN.ROBERTOBARROSO&amp;colegiado=TP&amp;sessao=E&amp;lista=LISTA19
ADI 4961,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=68084&amp;data=19/12/2018&amp;ministro=MIN.EDSONFACHIN&amp;colegiado=TP&amp;sessao=E&amp;lista=LISTA4
ADI 4173,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=68405&amp;data=19/12/2018&amp;ministro=MIN.ALEXANDREDEMORAES&amp;colegiado=TP&amp;sessao=E&amp;lista=LISTA12
ADI 5486,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=68403&amp;data=19/12/2018&amp;ministro=MIN.ALEXANDREDEMORAES&amp;colegiado=TP&amp;sessao=E&amp;lista=LISTA8
ADI 5776,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=67880&amp;data=19/12/2018&amp;ministro=MIN.ALEXANDREDEMORAES&amp;colegiado=TP&amp;sessao=E&amp;lista=LISTA1
